comment,sentiment,comment_length,cleaned_comment,label
buang sampah di kali angke dan bersihkan got got yg buntu namanya juga relawan,1,78,buang sampah di kali angke dan bersihkan got got yg buntu namanya juga relawan,0
ariel tatum sampe nunduk,1,24,ariel tatum sampe nunduk,0
hubungan hasil dari menyakiti perasaan orang lain tidak akan berkah,1,67,hubungan hasil dari menyakiti perasaan orang lain tidak akan berkah,0
"gak dosen, gak guru, gak isolop banyak birahinya, contoh nya istrinya gue dulu SMK juga di modusin begini ",-1,106,gak dosen gak guru gak isolop banyak birahinya contoh nya istrinya gue dulu smk juga di modusin begini,1
"""AMZING ISYANAA!! Jujur aku amazed banget dengan skill dan minat Isyana dalam bermusik. Ga Cuma bernyanyi tapi main alat musik pun jago banget""",1,143,amzing isyanaa jujur aku amazed banget dengan skill dan minat isyana dalam bermusik ga cuma bernyanyi tapi main alat musik pun jago banget,0
"amit-amit masuk ke univ ini,takut dibully",-1,41,amit amit masuk ke univ ini takut dibully,1
WHATTTTTT ??????? TINANDROSE ????? SIAPA SANGKA ðŸ¥¹ðŸ¥¹ðŸ¥¹ðŸ¥¹ PASTI FIKI SENENG BANGET ðŸ¥¹ðŸ¥¹ðŸ¥¹,1,102,whatttttt tinandrose siapa sangka pasti fiki seneng banget,0
"""NARKOBOYY NGELUARIN LIDAHH, AJG MAU APA, MAU TES URIN""",-1,55,narkoboyy ngeluarin lidahh ajg mau apa mau tes urin,1
"""nikmatnya bisa menghirup oksigen dengan bebas ya :)""",1,53,nikmatnya bisa menghirup oksigen dengan bebas ya,0
"""Astaghfirullah, seram sekali ya bun seperti ular jelmaan makhluk halus ya bun""",-1,79,astaghfirullah seram sekali ya bun seperti ular jelmaan makhluk halus ya bun,1
"abidzar: ""anjay sepek bet gua sepek""",-1,36,abidzar anjay sepek bet gua sepek,1
"promotor judi online,....ðŸ˜ðŸ˜",-1,33,promotor judi online,1
"""Santuy aja bang ga usah di tanggepin,btw gw suka gaya lo""",1,58,santuy aja bang ga usah di tanggepin btw gw suka gaya lo,0
lagi birahi doesennya ,-1,22,lagi birahi doesennya,1
