cleaned_comment,label
jule l nya apa lntee,1
disuruh milib oppa malh milih opet,1
jule anj,1
hancur banget hatiku ketika merasakan hatinya daehoon ia merawat anak sendirian tanpa seorang istri,0
oon bener kurang apa cobak suami lu,1
,1
dari dulu aja hobi selingkuh yaa sekarang masih doyan,0
emng kalau org lagi selingkuh itu buta segala2 nya percaya dah,1
di kasi diamond malah milih batu bata,1
jule ga kasian sm suami ya,0
yang dulu mungkin ahh masa udah buka hijab ajah,0
itu kayaknya poto lama deh soalnya mukanya masih unyu bulet cabi sementara sekarang tu lebih tirus dan keliatan dewasa gitu auranya,0
jule jule inget anak anak kamu sumpah gregetan,0
udh mau sore msh blm ada klarifikasi,0
tunggu klarifikasi dlu deh tapi klau bener sakit sih,0
jujurrlyy jule jugaaa lebihh bersinar dan cantik masyaallah sama daehoon,0
anaknya mirip rigen semua,1
dari semua komen ini doang yg bikin gua ngakak,0
kadang coment nya bener banget ko rigen semua yg lakie,1
rigen anaknya bahlil juga kayanya,1
baru tau rigen ada hubungan darah sama bahlil,1
emang kalo ke photo studio boleh bawa hewan ya,1
ini hewan di lindungi bang,1
endemik ini habitatnya di got kalo naik pangkat di kantor dpr pake kemeja sama dasi,1
woyyy lahhh bjirrr,0
boleh bang mereka binatang liar bg,1
gen bapak terlalu kuat rek jadi maghrib,1
subuh bukan malem lg,1
gen goblin,1
mau komen tp lagi bunting,0
udah gw wakilin tenang aja,0
mang ngape kalau lagi bunting brondong nanya dengan nada lembut,0
ingat doa org2 yg teraniaya cpt terkabul,0
mata ngantuk semua,1
kebanyakaan mabok ngisep bensin itu,1
kebanyakan makan duit haram,1
kebanyakan ngirul ganja itu,1
lagi pada tinggi itu,1
bro mslh kita bpnya aja jgn bwa anaknya woy,0
biasa korup matanya kek gitu,1
ngantuk nyabu itu,1
pecat bahlil,0
gak bakal bisa sembarangan mecat orang b 90 ini,0
itu titipan raja jawa dek mana berani wowo mecat,1
tandain muka anak anak nya,1
bapaknya lah anaknya gak salah apa apa,0
betul jangan bawa yang ga bersangkutan,0
yang anak nya donk kelemahan orang tua tuh anak nya,0
kenapa pak rk memilih harta tahta sapi idul adha,1
kok ya dia pas bangt pakai outer pink jadinya setelah gayung pink munculah ember pink,1
idungnya beda sebelah yah apa mataku yg rusak,1
ga salah pilih selera rk bukan kaleng kaleng tapinya drum,1
semoga mbk lisa sehat selalu ya sampai idul adha,1
masa rk mau sm kulkas 2 pintu,1
ini mah bu cinta lebih ke ketawa ngikngik sih liat lawannya modelan begini,1
ngakak beneran baca komen,0
ebih seru baca komen netizen,0
pertamina lah anying kan lu yg nyuruh dan bikin aturan njir ngapain malah lu nyalahin gw,0
kenapa bisa jadi menteri ya tu orang heran gua,1
di terminal nggak sengaja nemu emas 100 kilo kali makanya bisa beli jabatan ketum golkar,1
nepotisme kali kak kan titipan golkar,1
mlah cuci tgn njirr lil lil,0
lagi main pahlawan pahlawanan bang,1
namanya juga boss ngasih perintah dilaksanakan ktika ada jeleknya bawahn yg disalahkn,1
dia nyuruh buat 2027 makanya dengar sampe akhir skarang ethanol blum di campur tu sama pertalite nya,0
kembalikan shell dan permudah shell buka cabang di seluruh indonesia,0
pemerintah ga akan mempermudah pesaingnya bg kalau shell atau yg lain makin banyak otomatis pertamanya akan kalah saing,0
berkat bahlil bengkel gw jadi rame,0
bengkel lu rame dompet orang orang yang sepi,0
kdng ke sialan dan kesusahanmu menjadi sumber rejeki untuk orang lain itulah nmany ujian ttp berbaik sangka apapun keadaany,0
kan lu yang salah ngasib aturan etanol 10 njir ini motor gw habis servis gegera brebet abis 145 njir,1
lhaa iyaa mbak gitu kok masih menjabattt yaa banyak korban e yg motor rusak habis ratusan ribu sampai jutaan lhoo,1
